RegionName,State,Metro,2020-01
Santa Clara,CA,San Jose-Sunnyvale-Santa Clara,1333203
Concord,NC,Charlotte-Concord-Gastonia,234928
Town Of Amherst,NY,Buffalo-Cheektowaga-Niagara Falls,245169
Athens,GA,Athens-Clarke County,213193
Falls Church,VA,Washington-Arlington-Alexandria,678983
Norman,OK,Oklahoma City,174278
Wilmington,DE,Philadelphia-Camden-Wilmington,213289
Nampa,ID,Boise City,251454
Berkeley,CA,San Francisco-Oakland-Hayward,1327055
Westminster,CO,Denver-Aurora-Lakewood,407737
Clovis,CA,Fresno,354740
Rochester,MN,Rochester,248752
Stone Mountain,GA,Atlanta-Sandy Springs-Roswell,175033
Summerville,SC,Charleston-North Charleston,239314
Vista,CA,San Diego-Carlsbad,561644
Broken Arrow,OK,Tulsa,179744
Richmond,CA,San Francisco-Oakland-Hayward,523629
Arvada,CO,Denver-Aurora-Lakewood,454185
Charlottesville,VA,Charlottesville,352370
Independence,MO,Kansas City,129590
Tuscaloosa,AL,Tuscaloosa,166148
Provo,UT,Provo-Orem,327540
New Port Richey,FL,Tampa-St. Petersburg-Clearwater,193530
Spartanburg,SC,Spartanburg,135513
Bellingham,WA,Bellingham,478051
Melbourne,FL,Palm Bay-Melbourne-Titusville,245384
Costa Mesa,CA,Los Angeles-Long Beach-Anaheim,858337
Sparks,NV,Reno,363085
Bend,OR,Bend-Redmond,466195
El Monte,CA,Los Angeles-Long Beach-Anaheim,515497
College Station,TX,College Station-Bryan,253027
Miami Gardens,FL,Miami-Fort Lauderdale-West Palm Beach,274535
Chico,CA,Chico,396512
Downey,CA,Los Angeles-Long Beach-Anaheim,601323
Tracy,CA,Stockton-Lodi,524511
Ventura,CA,Oxnard-Thousand Oaks-Ventura,633407
North Charleston,SC,Charleston-North Charleston,189075
Lewisville,TX,Dallas-Fort Worth-Arlington,276919
West Covina,CA,Los Angeles-Long Beach-Anaheim,585139
Rock Hill,SC,Charlotte-Concord-Gastonia,189248
Bowling Green,KY,Bowling Green,183482
Yakima,WA,Yakima,245881
Redding,CA,Redding,289860
