ranking,city,statecode,avg_sal,med_h,med_r,avg_h_temp,avg_l_temp,med_age,unemp,avg_price,entry_sal,positions,lat,lng,mtg30,mtg_by_sal,rent12,rent_by_sal,rent_mtg_avg,rma_weight,our_rank,combined score,weighted score,weighted rank
61,Milwaukee,WI,50070,207400,864,55.5,40,37.6,3.1,131152,79710,25,43.0642,-87.9673,"$6,067.63 ",8%,10368,13%,11%,10.50,14,75,71.50,46
56,Tampa,FL,46080,199717,1014,81.7,65.1,42,3.4,251269,73775,62,27.9942,-82.4451,"$11,624.73 ",16%,12168,16%,16%,16.00,60,116,72.00,47
36,San Diego,CA,56410,555325,1467,69.7,57.5,35.4,3.3,717383,68102,76,32.8312,-117.122,"$33,189.06 ",49%,17604,26%,38%,37.50,104,140,73.50,48
58,Rochester,NY,49570,135042,848,57.1,39.3,39.9,4.4,128115,47319,7,43.168,-77.6162,"$5,927.12 ",13%,10176,22%,18%,17.50,45,103,75.50,49
57,Atlanta,GA,51390,209658,1053,71.8,53.2,36.1,3.7,300255,71850,170,33.7627,-84.4225,"$13,891.02 ",19%,12636,18%,19%,18.50,72,129,75.50,50
69,Dayton,OH,48700,126325,770,61,42.8,39.4,4.3,60144,80582,30,39.7797,-84.1998,"$2,782.51 ",3%,9240,11%,7%,7.00,4,73,76.00,51
59,Lakeland,FL,40560,171967,913,85.2,62.7,40.4,4,178985,53962,3,28.0557,-81.9545,"$8,280.58 ",15%,10956,20%,18%,17.50,55,114,76.50,52
68,Oklahoma City,OK,46070,150925,827,72.2,50.7,34.9,3.3,141460,88481,21,35.4676,-97.5137,"$6,544.52 ",7%,9924,11%,9%,9.00,11,79,77.00,53
66,Greensboro,NC,43310,142758,777,69.2,49,38.8,4.1,165533,56735,11,36.0956,-79.8268,"$7,658.23 ",13%,9324,16%,15%,14.50,39,105,80.50,54
63,Orlando,FL,44410,233050,1107,82.8,62.8,36.9,3.2,267171,72547,49,28.4772,-81.3369,"$12,360.42 ",17%,13284,18%,18%,17.50,66,129,80.50,55
64,Louisville,KY,45100,167300,792,67.7,48.5,38.8,3.9,179855,48913,17,38.1663,-85.6485,"$8,320.83 ",17%,9504,19%,18%,18.00,68,132,82.00,56
72,Augusta,GA,44020,147427,809,76.8,50.9,37.2,4.1,108586,55407,6,33.3645,-82.0708,"$5,023.63 ",9%,9708,18%,14%,13.50,20,92,85.50,57
65,Spokane,WA,47320,221800,833,57.6,38.6,38.3,5.5,254665,51895,6,47.6671,-117.433,"$11,781.84 ",23%,9996,19%,21%,21.00,80,145,86.00,58
67,Columbia,SC,43840,144192,889,75.6,53.9,36.3,3.5,148470,45368,18,34.0376,-80.9037,"$6,868.83 ",15%,10668,24%,20%,19.50,58,125,86.50,59
77,Salem,OR,47240,269367,877,83.6,42.4,36.3,4.2,293913,105531,2,44.9232,-123.024,"$13,597.61 ",13%,10524,10%,12%,11.50,36,113,88.50,60
76,Tucson,AZ,46140,203458,861,83.1,55.7,38.2,4.4,218379,70773,3,32.1545,-110.878,"$10,103.10 ",14%,10332,15%,15%,14.50,46,122,90.50,61
79,Wichita,KS,43880,143850,769,67.6,45.5,35.8,3.7,136662,55541,7,37.6897,-97.3441,"$6,322.54 ",11%,9228,17%,14%,14.00,29,108,93.00,62
71,Las Vegas,NV,44450,271767,1048,80,58.6,36.9,4.8,299816,59846,19,36.2333,-115.265,"$13,870.71 ",23%,12576,21%,22%,22.00,82,153,93.00,63
85,Cleveland,OH,45589,132516,782,59.2,45.9,41,4.9,65532,65755,31,41.4767,-81.6805,"$3,031.78 ",5%,9384,14%,10%,9.50,7,92,94.50,64
80,Springfield,MO,40560,146416,721,43,22.5,36.6,2.8,146501,52813,5,37.1943,-93.2915,"$6,777.73 ",13%,8652,16%,15%,14.50,40,120,94.50,65
70,Anchorage,AK,58980,259900,1237,9.3,43.9,33.5,6.1,374498,61896,5,61.1508,-149.109,"$17,325.81 ",28%,14844,24%,26%,26.00,93,163,96.00,66
75,Myrtle Beach,SC,35890,181800,883,81,39,46.5,4.6,265484,52502,0,33.7096,-78.8842,"$12,282.37 ",23%,10596,20%,22%,21.50,81,156,96.50,67
83,Tulsa,OK,45260,149000,804,71.3,50.1,36.8,3.6,131658,57260,6,36.1284,-95.9043,"$6,091.04 ",11%,9648,17%,14%,14.00,27,110,97.00,68
92,Detroit,MI,52100,156508,890,57.8,42.7,40,4.3,34909,70109,60,42.3834,-83.1024,"$1,615.03 ",2%,10680,15%,9%,8.50,2,94,100.50,69
89,Birmingham,AL,47300,171450,831,73.8,52.6,38.4,3.6,59747,54892,20,33.5277,-86.7987,"$2,764.14 ",5%,9972,18%,12%,11.50,8,97,100.50,70
88,Little Rock,AR,43780,147150,805,72.8,52.4,36.5,3.3,150536,63600,23,34.7255,-92.358,"$6,964.41 ",11%,9660,15%,13%,13.00,26,114,101.00,71
86,Springfield,MA,50930,199650,903,59.2,37.3,38.2,4.2,174482,62089,34,42.1155,-72.5395,"$8,072.25 ",13%,10836,17%,15%,15.00,42,128,101.00,72
82,Sacramento,CA,55010,389858,1157,73.8,47.6,37,3.7,354148,69119,30,38.5667,-121.468,"$16,384.33 ",24%,13884,20%,22%,22.00,85,167,104.00,73
94,Toledo,OH,44180,117850,710,59.9,40.6,37.3,4.9,73883,56309,2,41.6639,-83.5822,"$3,418.13 ",6%,8520,15%,11%,10.50,10,104,104.50,74
